p'_data,U_ro_data
0.35 ,36.40 
0.55 ,38.05 
0.75 ,39.00 
0.95 ,39.10 
1.15 ,39.14 
1.35 ,39.17 
1.55 ,39.19 
1.75 ,39.18 
1.95 ,39.23 
2.05 ,39.24 
2.15 ,39.25 
2.25 ,39.26 
2.35 ,39.27 
2.45 ,39.28 
2.55 ,39.29 
2.75 ,39.29 
2.95 ,39.31 
3.15 ,39.32 
3.35 ,39.33 
3.55 ,39.34 
3.75 ,39.35 
3.95 ,39.44 
4.15 ,39.44 
4.35 ,39.46 
4.55 ,39.46 
4.75 ,39.49 
4.95 ,39.50 
5.15 ,39.51 
5.35 ,39.53 
5.55 ,39.54 
5.75 ,39.57 
6.15 ,39.59 
6.55 ,39.63 
6.75 ,39.65 
7.15 ,39.69 
7.55 ,39.76 
7.75 ,39.79 
8.15 ,39.81 
8.55 ,39.88 
8.95 ,39.95 
9.35 ,40.02 
9.75 ,40.10 
10.15 ,40.15 
10.55 ,40.26 
10.95 ,40.32 
11.35 ,40.41 
11.75 ,40.53 
12.15 ,40.58 
12.55 ,40.74 
12.95 ,40.83 
13.35 ,40.93 
13.75 ,41.03 
14.25 ,41.19 
14.75 ,41.33 
